:LABEL,id,ifc_type,profile_type,x_dim,y_dim
IfcRectangleProfileDef,#32415,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32420,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32425,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32430,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32435,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32440,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32445,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32450,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32455,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32460,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32465,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32470,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32475,IFCRECTANGLEPROFILEDEF,AREA,0.02499999999999973,0.02499999999999973
IfcRectangleProfileDef,#32480,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32485,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
IfcRectangleProfileDef,#32490,IFCRECTANGLEPROFILEDEF,AREA,0.02500000000000027,0.02499999999999973
