:LABEL,id,ifc_type,name,numeric_value,property_name,text_value
IfcPropertySingleValue,#7036,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#7037,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#7038,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
IfcPropertySingleValue,#7039,IFCPROPERTYSINGLEVALUE,TagNumber,,TagNumber,TagNumber
IfcPropertySingleValue,#7040,IFCPROPERTYSINGLEVALUE,Phase Created,,Phase Created,New Construction
IfcPropertySingleValue,#7191,IFCPROPERTYSINGLEVALUE,Reference,,Reference,M_Fixed:2800mm x 2410mm
IfcPropertySingleValue,#7192,IFCPROPERTYSINGLEVALUE,FireRating,,FireRating,FireRating
IfcPropertySingleValue,#7195,IFCPROPERTYSINGLEVALUE,Level,,Level,Level 2
IfcPropertySingleValue,#7196,IFCPROPERTYSINGLEVALUE,Sill Height,0.1,Sill Height,
IfcPropertySingleValue,#7197,IFCPROPERTYSINGLEVALUE,Head Height,2.51,Head Height,
IfcPropertySingleValue,#7198,IFCPROPERTYSINGLEVALUE,Mark,,Mark,14
IfcPropertySingleValue,#7199,IFCPROPERTYSINGLEVALUE,InstallationDate,,InstallationDate,InstallationDate
IfcPropertySingleValue,#7200,IFCPROPERTYSINGLEVALUE,SerialNumber,,SerialNumber,SerialNumber
IfcPropertySingleValue,#7201,IFCPROPERTYSINGLEVALUE,WarrantyStartDate,,WarrantyStartDate,WarrantyStartDate
IfcPropertySingleValue,#7202,IFCPROPERTYSINGLEVALUE,BarCode,,BarCode,BarCode
IfcPropertySingleValue,#7203,IFCPROPERTYSINGLEVALUE,AssetIdentifier,,AssetIdentifier,AssetIdentifier
